"","area","silicate780","norm.silicate780"
"1",1,0.000107773182723833,0.000107773182723833
"2",1,0.00011501096189149,0.00011501096189149
"3",1,9.21092427790092e-05,9.21092427790092e-05
"4",1,8.81707573333496e-05,8.81707573333496e-05
"5",1,2.2886385131538e-05,2.2886385131538e-05
"6",1,2.16544141282983e-05,2.16544141282983e-05
"7",1,0.000106394693427813,0.000106394693427813
"8",1,8.25802645792355e-05,8.25802645792355e-05
"9",1,6.65312270740831e-05,6.65312270740831e-05
"10",1,5.47275345824388e-05,5.47275345824388e-05
"11",1,0.000102675473611741,0.000102675473611741
"12",1,8.52662688986152e-06,8.52662688986152e-06
"13",1,5.24603686847073e-06,5.24603686847073e-06
"14",1,1.01734123167652e-05,1.01734123167652e-05
"15",1,7.34699593598908e-06,7.34699593598908e-06
"16",1,6.66861178868185e-06,6.66861178868185e-06
"17",1,3.76819042933012e-06,3.76819042933012e-06
"18",1,8.23036526250036e-06,8.23036526250036e-06
"19",1,1.64167114666119e-05,1.64167114666119e-05
"20",1,1.89486919927252e-06,1.89486919927252e-06
"21",1,6.16623719501117e-07,6.16623719501117e-07
"22",1,4.05820503674865e-06,4.05820503674865e-06
"23",1,4.85388917228746e-06,4.85388917228746e-06
"24",1,2.8410703201739e-05,2.8410703201739e-05
"25",1,8.10813479740267e-05,8.10813479740267e-05
"26",1,8.3867709242782e-05,8.3867709242782e-05
"27",1,6.66440398560236e-05,6.66440398560236e-05
"28",1,0.000108926102325113,0.000108926102325113
"29",1,8.64365942856142e-05,8.64365942856142e-05
"30",1,1.19478080476787e-05,1.19478080476787e-05
"31",1,2.66631024214119e-05,2.66631024214119e-05
"32",1,2.06717983229718e-05,2.06717983229718e-05
"33",1,6.35607160712715e-05,6.35607160712715e-05
"34",1,1.94194006852839e-05,1.94194006852839e-05
"35",1,8.5628310642744e-06,8.56283106427441e-06
"36",1,7.07483976858389e-05,7.07483976858389e-05
"37",1,1.29859295545652e-05,1.29859295545652e-05
"38",1,8.78536925949723e-06,8.78536925949723e-06
"39",1,2.90080649168965e-06,2.90080649168965e-06
"40",1,7.47503457437552e-06,7.47503457437552e-06
"41",1,1.24028794076523e-05,1.24028794076523e-05
"42",1,4.86577353359726e-06,4.86577353359726e-06
"43",1,4.64427328668325e-06,4.64427328668325e-06
"44",1,9.7818165854059e-06,9.7818165854059e-06
"45",1,5.6004851550286e-05,5.6004851550286e-05
"46",1,1.78800624610671e-05,1.78800624610671e-05
"47",1,5.32526255086113e-05,5.32526255086113e-05
"48",1,1.86809349710879e-05,1.86809349710879e-05
"49",1,5.10942029683795e-06,5.10942029683795e-06
"50",1,5.45015081467755e-06,5.45015081467755e-06
"51",1,1.89435381745904e-06,1.89435381745904e-06
"52",1,2.19371721607477e-06,2.19371721607477e-06
"53",1,2.68358552571075e-06,2.68358552571075e-06
"54",1,2.13104809920655e-06,2.13104809920655e-06
"55",1,7.92849834941936e-06,7.92849834941936e-06
"56",1,1.22938114404368e-05,1.22938114404368e-05
"57",1,1.54326660901422e-05,1.54326660901422e-05
"58",1,8.86821208785212e-06,8.86821208785212e-06
